TENDER_BIZPORTAL_ID,TENDER_COUNTRY,ESTIMATED_LANGUAGE,TENDER_DATE_OF_AWARD,TENDER_TITLE,TENDER_DESCRIPTION,AI_MATCH_TERMS,SEARCH_TEXT,AI_REVIEW_LABEL,PROCUREMENT_CONTENT
85484463,IT,Spanish/Latin,2021-04-27,Italy-Rome: Miscellaneous spare parts,"Bando di gara n. 130/2020 _ Procedura aperta ai sensi del combinato disposto degli artt. 122 e 60 del D.lgs. 50/2016 e s.m.i., nell'ambito di applicazione dei settori speciali ai sensi degli artt. 114 e 118 del D.lgs 50/2016 e s.m.i., per la conclusione di Accordi Quadro ex art 54 del Dlgs 50 / 2016 e s.m.i., della durata di tre anni ed afferenti a singoli lotti (n. 16) in base ai quali, affidare ad un unico operatore, la fornitura di ricambi di carrozzeria per autobus Iveco/Irisbus Citelis, Iveco Urban Way, Evobus/Mercedes Citaro, Citymood, esperita con il sistema dell'e-Procurement.",core_ai_en: \bAI\b,"Italy-Rome: Miscellaneous spare parts 
Bando di gara n. 130/2020 _ Procedura aperta ai sensi del combinato disposto degli artt. 122 e 60 del D.lgs. 50/2016 e s.m.i., nell'ambito di applicazione dei settori speciali ai sensi degli artt. 114 e 118 del D.lgs 50/2016 e s.m.i., per la conclusione di Accordi Quadro ex art 54 del Dlgs 50 / 2016 e s.m.i., della durata di tre anni ed afferenti a singoli lotti (n. 16) in base ai quali, affidare ad un unico operatore, la fornitura di ricambi di carrozzeria per autobus Iveco/Irisbus Citelis, Iveco Urban Way, Evobus/Mercedes Citaro, Citymood, esperita con il sistema dell'e-Procurement.",明显误报：非英语普通词 ai,航空/机械零部件或维修
85484287,IT,English/Latin,2022-03-01,Italy-Rome: Health and safety services,"Procedura aperta - in modalità telematica - per l'istituzione di un Accordo Quadro per servizi in materia di sorveglianza sanitaria ai sensi del D.Lgs. 81/2008 e s.m.i. e servizi di prevenzione della salute per Poste Italiane e Società del Gruppo, suddivisa in 2 Lotti geografici non cumulabili:- Lotto 1: Centro Nord comprendente le regioni Toscana, Umbria, Emilia Romagna, Marche, Lombardia, Piemonte, Valle d'Aosta, Liguria, Veneto, Friuli V.G. e Trentino A.A.- Lotto 2: Centro Sud comprendente le regioni Lazio, Abruzzo, Molise, Sardegna, Campania, Calabria, Puglia, Basilicata e Sicilia.",core_ai_en: \bAI\b,"Italy-Rome: Health and safety services 
Procedura aperta - in modalità telematica - per l'istituzione di un Accordo Quadro per servizi in materia di sorveglianza sanitaria ai sensi del D.Lgs. 81/2008 e s.m.i. e servizi di prevenzione della salute per Poste Italiane e Società del Gruppo, suddivisa in 2 Lotti geografici non cumulabili:- Lotto 1: Centro Nord comprendente le regioni Toscana, Umbria, Emilia Romagna, Marche, Lombardia, Piemonte, Valle d'Aosta, Liguria, Veneto, Friuli V.G. e Trentino A.A.- Lotto 2: Centro Sud comprendente le regioni Lazio, Abruzzo, Molise, Sardegna, Campania, Calabria, Puglia, Basilicata e Sicilia.",明显误报：非英语普通词 ai,医疗/实验室/语音识别相关
87467396,US,English/Latin,2022-12-22,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,"8508930196!WINDSHIELD PANEL,AI",core_ai_en: \bAI\b,"OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING 
8508930196!WINDSHIELD PANEL,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
47202747,US,English/Latin,2022-12-22,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,"DISPLAY,MULTIPLE AI",core_ai_en: \bAI\b,"OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING 
DISPLAY,MULTIPLE AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
92119146,IT,Other/Unknown Latin,2023-02-02,Italy-Cagliari: Surgical instruments,"Procedura aperta, ai sensi dell'art. 60, D.Lgs. 2016, n. 50 ai fini dell'aggiudicazione di strumentario chirurgico vario suddiviso in 13 lotti per le esigenze dell' AOU di Cagliari i",core_ai_en: \bAI\b,"Italy-Cagliari: Surgical instruments 
Procedura aperta, ai sensi dell'art. 60, D.Lgs. 2016, n. 50 ai fini dell'aggiudicazione di strumentario chirurgico vario suddiviso in 13 lotti per le esigenze dell' AOU di Cagliari i",明显误报：非英语普通词 ai,医疗/实验室/语音识别相关
6760196,US,English/Latin,2014-07-29,Aircraft Engine and Engine Parts Manufacturing,"BLADE,COMPRESSOR,AI",core_ai_en: \bAI\b,"Aircraft Engine and Engine Parts Manufacturing 
BLADE,COMPRESSOR,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
51115842,US,English/Latin,2019-03-14,AIRCRAFT MANUFACTURING,"4545272714!PLATE,STRUCTURAL,AI",core_ai_en: \bAI\b,"AIRCRAFT MANUFACTURING 
4545272714!PLATE,STRUCTURAL,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
21916275,US,English/Latin,2017-04-11,Other Aircraft Part and Auxiliary Equipment Manufacturing,"8504301634!PANEL,STRUCTURAL,AI",core_ai_en: \bAI\b,"Other Aircraft Part and Auxiliary Equipment Manufacturing 
8504301634!PANEL,STRUCTURAL,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
85520351,IT,English/Latin,2022-03-14,Italy-Bari: Miscellaneous medical devices and products,"Denominazione conferita all'appalto dall'amministrazione aggiudicatrice: Autorizzazione all'indizione della Gara Europea a procedura aperta telematica, ai sensi degli artt. 58 e 60 del D.Lgs. 50/2016 e smi, per la fornitura triennale di Disinfettanti e Antisettici Categoria Merceologica D occorrente per le U.U.O.O. Policlinico di Bari e Ospedale Pediatrico Giovanni XXIII. Gara Ponte. Gara n. 8288135 - riduzione dei termini procedimentali ex art. 60, comma 3, D.lgs. n. 50/2016.",core_ai_en: \bAI\b,"Italy-Bari: Miscellaneous medical devices and products 
Denominazione conferita all'appalto dall'amministrazione aggiudicatrice: Autorizzazione all'indizione della Gara Europea a procedura aperta telematica, ai sensi degli artt. 58 e 60 del D.Lgs. 50/2016 e smi, per la fornitura triennale di Disinfettanti e Antisettici Categoria Merceologica D occorrente per le U.U.O.O. Policlinico di Bari e Ospedale Pediatrico Giovanni XXIII. Gara Ponte. Gara n. 8288135 - riduzione dei termini procedimentali ex art. 60, comma 3, D.lgs. n. 50/2016.",明显误报：非英语普通词 ai,医疗/实验室/语音识别相关
437123,US,English/Latin,2010-09-15,Other Aircraft Part and Auxiliary Equipment Manufacturing,"PLATE, STRUCUTURAL, AI",core_ai_en: \bAI\b,"Other Aircraft Part and Auxiliary Equipment Manufacturing 
PLATE, STRUCUTURAL, AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
