TENDER_BIZPORTAL_ID,TENDER_COUNTRY,ESTIMATED_LANGUAGE,TENDER_DATE_OF_AWARD,TENDER_TITLE,TENDER_DESCRIPTION,AI_MATCH_TERMS,SEARCH_TEXT,AI_REVIEW_LABEL,PROCUREMENT_CONTENT
79725901,US,English/Latin,2021-08-25,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",FY21 BAA MINE HEALTH AND SAFETY BIG DATA ANALYSIS AND TEXT MINING BY MACHINE LEARNING ALGORITHMS,core_ai_en: machine learning,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY) 
FY21 BAA MINE HEALTH AND SAFETY BIG DATA ANALYSIS AND TEXT MINING BY MACHINE LEARNING ALGORITHMS",明确 AI 相关,医疗/实验室/语音识别相关
192064269,,English/Latin,2024-06-19,Consultant for the Center for Artificial Intelligence Research (Deputy Chief AI and Data Officer),,core_ai_en: \bAI\b; core_ai_en: artificial intelligence,"Consultant for the Center for Artificial Intelligence Research (Deputy Chief AI and Data Officer) 
",明确 AI 相关,AI 研究、研发或原型项目
87515131,US,English/Latin,2023-03-29,COMPUTER SYSTEMS DESIGN SERVICES,"NEXT GENERATION NETWORK SERVICES FOR THREE PROOF OF CONCEPTS FOR TECHNOLOGY AREAS SOFTWARE DEFINED WAN (SD-WAN), ARTIFICIAL INTELLIGENCE FOR IT OPERATIONS (AIOPS), AND END-TO-END VISIBILITY.",core_ai_en: artificial intelligence,"COMPUTER SYSTEMS DESIGN SERVICES 
NEXT GENERATION NETWORK SERVICES FOR THREE PROOF OF CONCEPTS FOR TECHNOLOGY AREAS SOFTWARE DEFINED WAN (SD-WAN), ARTIFICIAL INTELLIGENCE FOR IT OPERATIONS (AIOPS), AND END-TO-END VISIBILITY.",明确 AI 相关,AI 软件、平台或信息系统
85573623,GB,English/Latin,2022-03-30,WinvoiceWeb - Dragon Medical One Voice Recognition,"North Tees & Hartlepool NHS Foundation Trust have utilised the Shared Business Services Framework - Digital Dictation, Speech Recognition and Outsourced Transcription - Lot 2B - SBS/20/SM/WCC/9423. The Trust utilised a direct award for a one off purchase of additional equipment for the Winscribe Digital Dictation Service.",core_ai_en: speech recognition,"WinvoiceWeb - Dragon Medical One Voice Recognition 
North Tees & Hartlepool NHS Foundation Trust have utilised the Shared Business Services Framework - Digital Dictation, Speech Recognition and Outsourced Transcription - Lot 2B - SBS/20/SM/WCC/9423. The Trust utilised a direct award for a one off purchase of additional equipment for the Winscribe Digital Dictation Service.",明确 AI 相关,医疗/实验室/语音识别相关
85640837,GB,English/Latin,2022-03-21,EMRAD Training Courses,Training programmes delivered via a mixture of on-line and face to face sessions and will include but not be limited to the following courses:-          Prince 2 - Project Management     ITIL 4     Cyber Security     Business Change     Data Analysis     Artificial intelligence - Data Sharing/Anonymisation,core_ai_en: artificial intelligence,"EMRAD Training Courses 
Training programmes delivered via a mixture of on-line and face to face sessions and will include but not be limited to the following courses:-          Prince 2 - Project Management     ITIL 4     Cyber Security     Business Change     Data Analysis     Artificial intelligence - Data Sharing/Anonymisation",明确 AI 相关,AI 数据分析、建模或算法服务
75558629,US,English/Latin,2020-06-22,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",IN-TIME FLIGHT ANOMALY DETECTION AND RISK PREDICTION WITH NEURAL NETWORKS,core_ai_en: neural network; core_ai_en: neural networks,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY) 
IN-TIME FLIGHT ANOMALY DETECTION AND RISK PREDICTION WITH NEURAL NETWORKS",明确 AI 相关,AI 研究、研发或原型项目
3032417,US,English/Latin,2011-08-10,"Research and Development in the Physical, Engineering, and Life Sciences","NASA IS RESEARCHING VARIOUS CONCEPTS, PROCEDURES, STANDARDS, AND TECHNOLOGIES INTENDED FOR NEXTGEN AIRSPACE. COMPLEX, DISTRIBUTED AIRSPACE SIMULATIONS THAT UTILIZE EXPERIMENTAL TESTBEDS (E.G., MULTI AIRCRAFT CONTROL SYSTEM, OR MACS) ARE VITAL RESEARCH TOOLS FOR THESE PROJECTS. HOWEVER, MANAGING THE VARIOUS COMPLEXITIES AND COORDINATION OF AGENT-SUPPORTED SEPARATION ASSURANCE CAN BE CHALLENGING. THIS OFTEN CREATES UNDESIRED STAFFING AND TRAINING REQUIREMENTS, WORKLOAD, AND SUSCEPTIBILITY TO HUMAN ERROR THAT CAN DISRUPT PLANNED SCENARIO EVENTS. TO ADDRESS THIS ISSUE, WE PROPOSE TO DEVELOP ARTIFICIAL INTELLIGENCE FOR REFINING MULTI-AIRCRAFT TESTBED ENVIRONMENTS (AIR-MATE). THIS PROPOSED INNOVATION WILL PROVIDE A MACS-INTEROPERABLE SOFTWARE MODULE THAT COORDINATES THE BEHAVIORS OF HUMAN-AUTOMATION PAIRS IN SIMULATED NEXTGEN AIRSPACE. THIS EFFORT WILL LEVERAGE RECENT ADVANCEMENTS IN DISTRIBUTED CONSTRAINTS OPTIMIZATION AND ADJUSTABLE AUTONOMY TO ANALYZE AIRSPACE SIMULATIONS IN A DECENTRALIZED, PARALLEL MANNER AND SOLVE PROBLEMS LOCALLY FOR ENHANCED EFFICIENCY. THIS TECHNOLOGY WILL REDUCE THE WORKLOAD AND STAFFING REQUIREMENTS IN CURRENT NEXTGEN SIMULATIONS, WHILE ENSURING THE DESIRED SCENARIO EVENTS AND SEPARATION ASSURANCE IS PROPERLY EXECUTED. THE RESULTS OF THE AIR-MATE EFFORT WILL BE A MORE CONTROLLED AND HIGH-FIDELITY TESTBED ENVIRONMENT THAT WILL AID RESEARCHERS, INCREASE THE QUALITY OF NEXTGEN RESEARCH, AND ULTIMATELY BENEFIT THE DEVELOPMENT OF NEXTGEN CONCEPTS.",core_ai_en: artificial intelligence,"Research and Development in the Physical, Engineering, and Life Sciences 
NASA IS RESEARCHING VARIOUS CONCEPTS, PROCEDURES, STANDARDS, AND TECHNOLOGIES INTENDED FOR NEXTGEN AIRSPACE. COMPLEX, DISTRIBUTED AIRSPACE SIMULATIONS THAT UTILIZE EXPERIMENTAL TESTBEDS (E.G., MULTI AIRCRAFT CONTROL SYSTEM, OR MACS) ARE VITAL RESEARCH TOOLS FOR THESE PROJECTS. HOWEVER, MANAGING THE VARIOUS COMPLEXITIES AND COORDINATION OF AGENT-SUPPORTED SEPARATION ASSURANCE CAN BE CHALLENGING. THIS OFTEN CREATES UNDESIRED STAFFING AND TRAINING REQUIREMENTS, WORKLOAD, AND SUSCEPTIBILITY TO HUMAN ERROR THAT CAN DISRUPT PLANNED SCENARIO EVENTS. TO ADDRESS THIS ISSUE, WE PROPOSE TO DEVELOP ARTIFICIAL INTELLIGENCE FOR REFINING MULTI-AIRCRAFT TESTBED ENVIRONMENTS (AIR-MATE). THIS PROPOSED INNOVATION WILL PROVIDE A MACS-INTEROPERABLE SOFTWARE MODULE THAT COORDINATES THE BEHAVIORS OF HUMAN-AUTOMATION PAIRS IN SIMULATED NEXTGEN AIRSPACE. THIS EFFORT WILL LEVERAGE RECENT ADVANCEMENTS IN DISTRIBUTED CONSTRAINTS OPTIMIZATION AND ADJUSTABLE AUTONOMY TO ANALYZE AIRSPACE SIMULATIONS IN A DECENTRALIZED, PARALLEL MANNER AND SOLVE PROBLEMS LOCALLY FOR ENHANCED EFFICIENCY. THIS TECHNOLOGY WILL REDUCE THE WORKLOAD AND STAFFING REQUIREMENTS IN CURRENT NEXTGEN SIMULATIONS, WHILE ENSURING THE DESIRED SCENARIO EVENTS AND SEPARATION ASSURANCE IS PROPERLY EXECUTED. THE RESULTS OF THE AIR-MATE EFFORT WILL BE A MORE CONTROLLED AND HIGH-FIDELITY TESTBED ENVIRONMENT THAT WILL AID RESEARCHERS, INCREASE THE QUALITY OF NEXTGEN RESEARCH, AND ULTIMATELY BENEFIT THE DEVELOPMENT OF NEXTGEN CONCEPTS.",明确 AI 相关,航空/机械零部件或维修
77519046,US,English/Latin,2023-01-17,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","FAST NETWORK INTERFACE CARDS (FASTNICS) PROGRAM WILL SPEED UP APPLICATIONS LIKE DISTRIBUTED TRAINING OF MACHINE LEARNING CLASSIFIERS BY100X THROUGH DEVELOPMENT, IMPLEMENTATION",core_ai_en: machine learning,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY) 
FAST NETWORK INTERFACE CARDS (FASTNICS) PROGRAM WILL SPEED UP APPLICATIONS LIKE DISTRIBUTED TRAINING OF MACHINE LEARNING CLASSIFIERS BY100X THROUGH DEVELOPMENT, IMPLEMENTATION",明确 AI 相关,AI 研究、研发或原型项目
75716298,US,English/Latin,2020-07-21,CUSTOM COMPUTER PROGRAMMING SERVICES,ROBOTIC PROCESS AUTOMATION (RPA AKA BOTS) ENHANCEMENTS TO THE CDFI FUND'S BOND GUARANTEE PROGRAM IN AWARDS MANAGEMENT INFORMATION SYSTEMS (AMIS),core_ai_en: robotic process automation; core_ai_en: \bRPA\b,"CUSTOM COMPUTER PROGRAMMING SERVICES 
ROBOTIC PROCESS AUTOMATION (RPA AKA BOTS) ENHANCEMENTS TO THE CDFI FUND'S BOND GUARANTEE PROGRAM IN AWARDS MANAGEMENT INFORMATION SYSTEMS (AMIS)",明确 AI 相关,AI 软件、平台或信息系统
92518960,GB,English/Latin,2023-03-31,Project_25701 USS Business Analyst 2,"Provision of a Business Analyst working as part of an internal DWP project team, delivering        topics and iterative improvements to the Digital chatbot and end user knowledge held within        the ServiceNow toolset, working on a defined set of priorities owned and managed by DWP.        Increasing self service and support improvements to the Digital chatbot including the        introduction of new topics.",core_ai_en: chatbot,"Project_25701 USS Business Analyst 2 
Provision of a Business Analyst working as part of an internal DWP project team, delivering        topics and iterative improvements to the Digital chatbot and end user knowledge held within        the ServiceNow toolset, working on a defined set of priorities owned and managed by DWP.        Increasing self service and support improvements to the Digital chatbot including the        introduction of new topics.",明确 AI 相关,AI 自动化、识别或虚拟助手应用
